last_name, first_name,player_id,year,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyweak_percent,hard_hit_percent
Castellanos, Nick,592206,2021,585,164,91,38,1,34,121,41,20.7,0.309,0.293,0.535,0.374,0.35,0.241,89.8,14,44,44,10.6,11.5,24.3,6.3,46.9
Judge, Aaron,592450,2021,633,158,95,24,0,39,158,75,25,0.287,0.308,0.594,0.418,0.394,0.286,95.8,11.6,38.5,70,17.6,9.1,23.7,1.8,58.4
Machado, Manny,592518,2021,640,157,96,31,2,28,102,63,15.9,0.278,0.295,0.531,0.38,0.367,0.236,93.1,14,33.8,63,13.3,7,24.1,2.7,52.2
Realmuto, J.T.,592663,2021,537,125,79,25,4,17,129,48,24,0.263,0.253,0.416,0.329,0.335,0.164,89.6,11.5,31.2,30,8.6,6,26.6,3.7,44.7
Renfroe, Hunter,592669,2021,572,135,71,33,0,31,130,44,22.7,0.259,0.26,0.506,0.354,0.32,0.245,90.1,15.6,32.7,57,14.4,6.3,18.6,3.3,44.3
Merrifield, Whit,593160,2021,720,184,129,42,3,10,103,40,14.3,0.277,0.263,0.383,0.301,0.306,0.12,86.9,14.1,40,20,3.5,7.2,27.1,3.3,28.8
Bogaerts, Xander,593428,2021,603,156,98,34,1,23,113,62,18.7,0.295,0.28,0.468,0.359,0.359,0.189,89.6,12.5,36.4,41,9.7,5.9,25.1,3.1,43
Polanco, Jorge,593871,2021,644,158,88,35,2,33,118,45,18.3,0.269,0.267,0.488,0.348,0.323,0.22,89.4,19.3,36.1,48,10.1,5.9,22.9,5,37.4
Sano, Miguel,593934,2021,532,105,51,24,0,30,183,59,34.4,0.223,0.216,0.44,0.322,0.306,0.224,93.4,17.6,32.3,51,17.7,5.2,21.9,4.5,55.9
Duvall, Adam,594807,2021,555,117,60,17,2,38,174,35,31.4,0.228,0.227,0.499,0.33,0.281,0.271,89.8,23.6,33.3,55,16.1,5,20.5,4.4,43.9
Baez, Javier,595879,2021,547,133,82,18,2,31,184,28,33.6,0.265,0.241,0.456,0.325,0.299,0.214,90.1,10.6,32.7,43,13.4,7.2,20.9,4.4,45.2
Lindor, Francisco,596019,2021,524,104,65,16,3,20,96,58,18.3,0.23,0.254,0.453,0.345,0.345,0.199,90.7,14.4,35.6,30,8.2,7.7,21.6,5.2,44.1
Story, Trevor,596115,2021,595,132,69,34,5,24,139,53,23.4,0.251,0.245,0.451,0.336,0.326,0.206,90.6,17.5,34.2,39,9.9,6.6,21.2,2,42.6
Candelario, Jeimer,600869,2021,626,151,90,42,3,16,135,65,21.6,0.271,0.278,0.465,0.357,0.358,0.187,88.7,12.6,38.6,38,9,6.6,28.4,3.6,39.1
Bell, Josh,605137,2021,568,130,78,24,1,27,101,65,17.8,0.261,0.277,0.488,0.367,0.363,0.211,92.5,4.9,28.5,35,8.8,6.8,24.8,2.3,52
Betts, Mookie,605141,2021,550,123,68,29,3,23,86,68,15.6,0.264,0.263,0.445,0.357,0.369,0.182,90.3,18.9,34,30,7.8,7.5,23.6,2.6,41
Tapia, Raimel,606132,2021,533,133,99,26,2,6,70,40,13.1,0.273,0.25,0.318,0.281,0.307,0.068,85.7,-4.4,19.9,9,2.1,1.4,20.4,5.9,31.5
Hernandez, Teoscar,606192,2021,595,163,102,29,0,32,148,36,24.9,0.296,0.284,0.537,0.37,0.336,0.252,91.8,13.1,37.4,56,13.9,7.7,24.3,2.7,49
Turner, Trea,607208,2021,646,195,130,34,3,28,110,41,17,0.328,0.304,0.485,0.364,0.355,0.181,89.6,11.4,34.6,36,7.4,5.3,28,4.1,46.2
Ramirez, Jose,608070,2021,636,147,74,32,5,36,87,72,13.7,0.266,0.284,0.511,0.377,0.375,0.227,90,18.3,33.4,52,11.1,4.9,22.8,3.4,42.4
Gallo, Joey,608336,2021,616,99,47,13,1,38,213,111,34.6,0.199,0.203,0.466,0.355,0.354,0.263,91.5,22.7,29.4,53,18.5,3.8,16.1,6.6,45.8
Swanson, Dansby,621020,2021,653,146,84,33,2,27,167,52,25.6,0.248,0.251,0.456,0.332,0.316,0.205,89.3,14.1,36.8,49,11.4,6.1,22.8,4.2,42.7
Newman, Kevin,621028,2021,554,117,87,22,3,5,41,27,7.4,0.226,0.255,0.33,0.275,0.293,0.076,85.3,9.9,32,8,1.6,3.5,23.1,7.4,26
